100 WEST 78 New York, NY 10024
151 CANAL STREET                          New York, NY 10002
1356 MADISON AVENUE New York, NY 10128
340 EAST 80TH STREET New York, NY 10075
58 WASHINGTON MEWS                        New York, NY 10003
26 EAST 63RD   STREET New York, NY 10065
159 WEST 129TH STREET                     New York, NY 10027
430 WEST 34 STREET New York, NY 10001
60 WEST 36TH   STREET                     New York, NY 10018
1175 YORK AVENUE New York, NY 10065
145 AVENUE A                              New York, NY 10009
502 9 AVENUE New York, NY 10018
141 DIVISION STREET                       New York, NY 10002
305 EAST 72ND   STREET New York, NY 10021
318 WEST 100 STREET                       New York, NY 10025
340 EAST 64TH                             New York, NY 10065
465 WEST BROADWAY New York, NY 10012
317 WEST 95TH STREET New York, NY 10025
102 GREENE STREET New York, NY 10012
38 EAST 85TH STREET New York, NY 10028
127 WEST 82ND   STREET                    New York, NY 10024
126 EAST 72ND   STREET                    New York, NY 10021
252 7 AVENUE                              New York, NY 10001
261 CENTRAL PARK WEST New York, NY 10024
70 CANAL STREET                           New York, NY 10002
131 W 85 ST New York, NY 10024
1601 3 AVENUE                             New York, NY 10128
306 EAST 82ND STREET                      New York, NY 10028
316 WEST 88TH   STREET                    New York, NY 10024
905 WEST END AVENUE                       New York, NY 10025
3 GREAT JONES STREET New York, NY 10012
174 EAST 74TH STREET New York, NY 10021
120 EAST 83RD   STREET New York, NY 10028
130 WEST 88TH   STREET                    New York, NY 10024
70 RIVERSIDE DRIVE New York, NY 10024
791 PARK AVENUE New York, NY 10021
523 EAST 72ND   STREET                    New York, NY 10021
333 RIVERSIDE DRIVE                       New York, NY 10025
134 ELDRIDGE STREET New York, NY 10002
870 5 AVENUE New York, NY 10065
428 EAST 84TH   STREET                    New York, NY 10028
70 WEST 36TH STREET New York, NY 10018
475 F.D.R. DRIVE New York, NY 10002
45 2ND AVENUE New York, NY 10003
166 EAST 63RD STREET New York, NY 10065
177 EAST 64TH   STREET                    New York, NY 10065
70 LITTLE WEST STREET                     New York, NY 10280
115 EAST 90TH ST New York, NY 10128
435 EAST 76TH STREET                      New York, NY 10021
11 GRAMERCY PARK                          New York, NY 10003
242 EAST 19TH New York, NY 10003
530-532 EAST 5TH STREET                   New York, NY 10009
164 EAST 95TH STREET                      New York, NY 10128
1597 YORK AVENUE                          New York, NY 10028
239 EAST  79TH STREET New York, NY 10075
37 EAST 12TH   STREET                     New York, NY 10003
49 MONROE STREET                          New York, NY 10002
1236 PARK AVENUE New York, NY 10128
115 DELANCY STREET                        New York, NY 10002
270 ST NICHOLAS AVENUE                    New York, NY 10027
83 NASSAU STREET                          New York, NY 10038
242 EAST 79TH   STREET                    New York, NY 10075
415 EAST 85 New York, NY 10028
328 WEST 96TH STREET New York, NY 10025
335 WEST 84TH   STREET                    New York, NY 10024
401 E 74TH ST New York, NY 10021
931 LEXINGTON AVENUE New York, NY 10065
738 EAST 6TH STREET New York, NY 10009
123 EAST 64TH                             New York, NY 10065
22 WEST 90TH   STREET                     New York, NY 10024
148 EAST 83RD STREET New York, NY 10028
65 WEST 92ND   STREET New York, NY 10025
595 WEST END AVENUE New York, NY 10024
317 EAST 74TH STREET                      New York, NY 10021
115 EAST 67TH STREET New York, NY 10065
33 5TH AVENUE New York, NY 10003
161 EAST 90TH ST New York, NY 10128
427 EAST 83RD   STREET                    New York, NY 10028
243 WEST 98TH   STREET New York, NY 10025
198 EAST 7TH STREET New York, NY 10009
213 EAST 88TH   STREET New York, NY 10128
170 EAST END AVENUE                       New York, NY 10128
330 EAST 65TH STREET New York, NY 10065
81 ST MARKS PLACE                         New York, NY 10003
204 WEST 108 STREET                       New York, NY 10025
319 EAST 6TH   STREET                     New York, NY 10003
141 EAST 88TH STREET                      New York, NY 10128
1664 THIRD AVE                            New York, NY 10128
49 WEST 96 STREET New York, NY 10025
223 EAST 78TH STREET New York, NY 10075
205 WEST 95TH   STREET                    New York, NY 10025
155 WEST 123RD ST                         New York, NY 10027
217 SECOND AVENUE                         New York, NY 10003
259 WEST 85TH   STREET                    New York, NY 10024
244 EAST 7TH STREET New York, NY 10009
200 WEST 79 STREET New York, NY 10024
103 EAST 10 STREET New York, NY 10003
132 WEST 133 STREET                       New York, NY 10027
220 EAST 13 STREET                        New York, NY 10003
246 EAST 68TH   STREET                    New York, NY 10065
301 EAST 63 STREET New York, NY 10065
147 EAST 69TH   STREET                    New York, NY 10021
349 EAST 62ND STREET                      New York, NY 10065
46 RIVINGTON ST New York, NY 10002
177 EAST 77TH STREET                      New York, NY 10075
169 AVENUE B                              New York, NY 10002
273 WEST 131 STREET                       New York, NY 10027
105 EAST 15TH STREET New York, NY 10003
211 EAST 3RD   STREET                     New York, NY 10009
1641 THIRD AVENUE                         New York, NY 10128
103 EAST 75TH STREET New York, NY 10021
400 EAST 14TH   STREET                    New York, NY 10009
380 LENOX AVENUE New York, NY 10027
4 EAST 82ND STREET New York, NY 10028
222 PARK AVE SOUTH New York, NY 10003
225 WEST 83 STREET New York, NY 10024
334 EAST 9TH   STREET                     New York, NY 10003
46 EAST 82ND   STREET                     New York, NY 10028
26 EAST 93RD STREET New York, NY 10128
220 EAST 65TH                             New York, NY 10065
910 FIFTH AVENUE New York, NY 10021
334 EAST 5 STREET New York, NY 10003
230 3 AVENUE New York, NY 10003
1345 AMSTERDAM AVENUE                     New York, NY 10027
101 DELANCEY STREET                       New York, NY 10002
48 HESTER STREET New York, NY 10002
509 WEST 122ND STREET New York, NY 10027
345 WEST 121 STREET                       New York, NY 10027
507 WEST 111 STREET New York, NY 10025
203 WEST 81ST   STREET New York, NY 10024
64 EAST 94TH ST New York, NY 10128
229 EAST 14TH STREET New York, NY 10003
46 WEST 83RD   STREET New York, NY 10024
331 WEST 89TH STREET New York, NY 10024
170 EAST 94TH   STREET New York, NY 10128
319 WEST 38TH   STREET                    New York, NY 10018
450 EAST 83RD   STREET New York, NY 10028
245 WEST 104TH New York, NY 10025
238 WEST 106TH STREET New York, NY 10025
445 WEST 36TH   STREET                    New York, NY 10018
454 ST. NICHOLAS AVE                      New York, NY 10027
339 WEST 84TH   STREET                    New York, NY 10024
3 EAST 3RD   STREET                       New York, NY 10003
171 EAST 84ST                             New York, NY 10028
171 AVENUE B                              New York, NY 10002
55 3 AVENUE New York, NY 10003
1120 PARK AVENUE                          New York, NY 10128
518 EAST 11TH STREET New York, NY 10009
251 WEST 30TH   STREET                    New York, NY 10001
107 WEST 26TH STREET                      New York, NY 10001
1473 AMSTERDAM AVENUE                     New York, NY 10027
521 PARK AVENUE                           New York, NY 10065
227 EAST 7 STREET                         New York, NY 10009
299 PEARL STREET New York, NY 10038
50 EAST 80TH STREET New York, NY 10075
459 WEST BROADWAY New York, NY 10012
57 WEST 93RD ST New York, NY 10025
104 EAST 7TH   STREET                     New York, NY 10009
225 LAFAYETTE STREET                      New York, NY 10012
240 EAST HOUSTON STREET                   New York, NY 10002
515 BROADWAY New York, NY 10012
1 IRVING PLACE                            New York, NY 10003
360 RIVERSIDE DR. New York, NY 10025
283 EAST 4TH   STREET                     New York, NY 10009
412-14 EAST 10TH STREET New York, NY 10009
336 RIVERSIDE DRIVE                       New York, NY 10025
520 EAST 76TH   STREET                    New York, NY 10021
7 WEST 92 STREET New York, NY 10025
620 BROADWAY New York, NY 10012
45 EAST 1ST   STREET New York, NY 10003
2631/2 WEST 94TH STREET New York, NY 10025
961 COLUMBUS AVENUE New York, NY 10025
125 RIVINGTON STREET                      New York, NY 10002
4 EAST 72ND STREET New York, NY 10021
30 WEST 86TH STREET                       New York, NY 10024
12 HENDERSON PLACE                        New York, NY 10028
264 WEST 25TH STREET                      New York, NY 10001
264 WEST 77TH   STREET                    New York, NY 10024
252 7TH AVENUE                            New York, NY 10001
101 STANTON STREET New York, NY 10002
246 LENOX AVENUE                          New York, NY 10027
285 LAFAYETTE STREET                      New York, NY 10012
536 WEST 111TH STREET New York, NY 10025
153 EAST BROADWAY                         New York, NY 10002
137 LUDLOW STREET                         New York, NY 10002
215 EAST 80TH STREET New York, NY 10075
326 WEST 37TH   STREET                    New York, NY 10018
120 E 87TH ST                             New York, NY 10128
237 EAST 12TH STREET New York, NY 10003
130 EAST 18TH New York, NY 10003
541 EAST 11TH   STREET                    New York, NY 10002
311 EAST 11TH STREET                      New York, NY 10003
85 FIRST AVENUE New York, NY 10003
119 EAST 84TH STREET New York, NY 10028
324 EAST 90TH STREET New York, NY 10128
317 EAST 18TH STREET New York, NY 10003
33 BEEKMAN STREET                         New York, NY 10038
114 MORNINGSIDE DR New York, NY 10027
118 RIDGE STREET New York, NY 10002
61 WEST 106TH STREET                      New York, NY 10025
511 EAST 82ND   STREET New York, NY 10028
515 EAST 72ND   STREET                    New York, NY 10021
321 W 78                                  New York, NY 10024
64 EAST 126 STREET                        New York, NY 10027
573 GRAND STREET New York, NY 10002
45 EAST 85TH STREET New York, NY 10028
145 NASSAU STREET New York, NY 10038
90 MAIDEN LANE                            New York, NY 10038
151 NORFOLK STREET                        New York, NY 10002
925 PARK AVENUE New York, NY 10028
226 EAST 12TH   STREET New York, NY 10003
251 WEST 98TH STREET                      New York, NY 10025
330 WEST 28TH STREET New York, NY 10001
357 WEST 29TH STREET New York, NY 10001
72-74 EAST 3RD   STREET New York, NY 10003
222 EAST 80TH ST New York, NY 10075
55 E. 9TH STREET New York, NY 10003
54 MORNINGSIDE DRIVE New York, NY 10025
101 MORNINGSIDE AVENUE                    New York, NY 10027
26 EAST 10 STREET New York, NY 10003
575 PARK AVENUE New York, NY 10065
23 EAST 17TH   STREET                     New York, NY 10003
489 BROADWAY                              New York, NY 10012
122 WEST 87TH STREET                      New York, NY 10024
25 BOND STREET New York, NY 10012
520 WEST 27TH STREET                      New York, NY 10001
1377-1379 LEXINGTON AVENUE                New York, NY 10128
1 RIVER TERRACE                           New York, NY 10280
235 EAST 87 STREET New York, NY 10128
15 EAST 75TH   STREET                     New York, NY 10021
120 EAST 90TH   STREET                    New York, NY 10128
215 WEST 88TH STREET New York, NY 10024
130 EAST 94TH   STREET New York, NY 10128
13 WEST 126 STREET                        New York, NY 10027
112 GREENE STREET New York, NY 10012
170 WEST 89TH STREET New York, NY 10024
1691 3 AVENUE                             New York, NY 10128
141 EAST 18TH STREET                      New York, NY 10003
570 PARK AVENUE New York, NY 10065
123 E 75TH ST New York, NY 10021
624 EAST 9TH   STREET                     New York, NY 10009
315 WEST 36TH   STREET                    New York, NY 10018
205 EAST 77TH   STREET                    New York, NY 10075
115 WEST 96TH STREET New York, NY 10025
125 EAST 12TH   STREET New York, NY 10003
1048 5 AVENUE                             New York, NY 10028
1420 YORK AVENUE                          New York, NY 10021
415 EAST 80 STREET New York, NY 10075
228 LENOX AVENUE                          New York, NY 10027
313 WEST 86TH   STREET New York, NY 10024
692 MADISON AVENUE                        New York, NY 10065
63-67 WEST 35TH STREET                    New York, NY 10001
302 WEST 86TH STREET New York, NY 10024
504 GRAND STREET New York, NY 10002
217 WEST 131 STREET                       New York, NY 10027
474 CENTRAL PARK WEST                     New York, NY 10025
283 EAST 4 STREET New York, NY 10009
177 THOMPSON STREET New York, NY 10012
315 WEST 106TH New York, NY 10025
310 WEST 94TH STREET New York, NY 10025
345 EAST 81ST STREET New York, NY 10028
7 EAST 13TH   STREET New York, NY 10003
115 SOUTH STREET                          New York, NY 10038
830 PARK AVENUE New York, NY 10021
235 EAST 73RD STREET New York, NY 10021
136 EAST 19TH   STREET New York, NY 10003
401 EAST 89TH STREET New York, NY 10128
400 EAST 70TH STREET New York, NY 10021
322 WEST 88TH STREET New York, NY 10024
311 EAST 84TH STREET New York, NY 10028
1060 FIFTH AVENUE New York, NY 10128
167 EAST 67TH STREET New York, NY 10065
620 EAST 6TH   STREET                     New York, NY 10009
263 9 AVENUE                              New York, NY 10001
19 WEST 85TH STREET New York, NY 10024
41 WEST 94TH STREET                       New York, NY 10025
311 EAST 11TH   STREET New York, NY 10003
415 EAST 82ND STREET New York, NY 10028
381 LENOX AVE.                            New York, NY 10027
267 WEST 25TH   STREET                    New York, NY 10001
39 MONROE STREET                          New York, NY 10002
200 LAFAYETTE STREET                      New York, NY 10012
150 WOOSTER STREET New York, NY 10012
325 CENTRAL PARK WEST New York, NY 10025
1 ELDRIDGE STREET New York, NY 10002
155 EAST 79TH STREET New York, NY 10075
70 EAST 77TH   STREET New York, NY 10075
170 NORFOLK New York, NY 10002
353 EAST 72ND   STREET New York, NY 10021
147 EAST 63RD STREET                      New York, NY 10065
504 EAST 88TH   STREET                    New York, NY 10128
404-406 EAST 88TH   STREET                New York, NY 10128
102 WEST 85TH   STREET                    New York, NY 10024
149 EAST 78TH STREET                      New York, NY 10075
50 EAST 72ND STREET                       New York, NY 10021
241 WEST 107 STREET                       New York, NY 10025
308 WEST 103RD STREET New York, NY 10025
424 EAST 77TH STREET New York, NY 10075
245 EAST 72ND  STREET New York, NY 10021
507 WEST 33RD   STREET                    New York, NY 10001
237 ELDRIDGE STREET New York, NY 10002
226 EAST 81ST STREET New York, NY 10028
130 EAST 63RD   STREET New York, NY 10065
261 WEST 28TH STREET New York, NY 10001
13 WEST 127TH STREET                      New York, NY 10027
210 LAFAYETTE New York, NY 10012
102 WEST 123RD STREET                     New York, NY 10027
124-126 EAST 63RD STREET                  New York, NY 10065
174 EAST 70TH   STREET New York, NY 10021
166 EAST 96 STREET New York, NY 10128
131 FIFTH AVENUE New York, NY 10003
323 WEST 87TH   STREET                    New York, NY 10024
498 MANHATTAN AVENUE                      New York, NY 10027
100 WEST 89TH   STREET                    New York, NY 10024
545 WEST END AVENUE New York, NY 10024
154 WEST 77 ST New York, NY 10024
1639 FIRST AVENUE                         New York, NY 10028
279 EAST 4TH   STREET                     New York, NY 10009
210 WEST 103RD STREET New York, NY 10025
100 WEST 94TH STREET New York, NY 10025
233 EAST 88TH STREET New York, NY 10128
100 2 AVENUE New York, NY 10003
205 EAST 69TH  STREET New York, NY 10021
324 W 83                                  New York, NY 10024
188 EAST 76TH   STREET New York, NY 10021
23 WEST 88TH   STREET New York, NY 10024
353 EAST 77TH   STREET                    New York, NY 10075
193 2 AVENUE New York, NY 10003
422 ST NICHOLAS AVENUE                    New York, NY 10027
88 EAST END AVENUE                        New York, NY 10028
131 WEST 33RD   STREET New York, NY 10001
18 EAST 12TH STREET New York, NY 10003
124 EAST 84TH STREET New York, NY 10028
173 RIVERSIDE DRIVE New York, NY 10024
105 THOMPSON STREET New York, NY 10012
221 EAST 82ND STREET                      New York, NY 10028
139 WEST 82ND   STREET New York, NY 10024
305 SECOND  AVENUE                        New York, NY 10003
331 EAST HOUSTON STREET New York, NY 10002
132 WEST 27TH STREET                      New York, NY 10001
280 LENOX AVENUE New York, NY 10027
515 EAST 85TH STREET New York, NY 10028
164 WEST 79TH   STREET New York, NY 10024
1359 1 AVENUE                             New York, NY 10021
419 EAST 84 STREET New York, NY 10028
44 EAST 65TH   STREET New York, NY 10065
168 EAST 81ST   STREET                    New York, NY 10028
35 BOND STREET                            New York, NY 10012
242 EAST 7TH New York, NY 10009
149 E 19TH STREET New York, NY 10003
192 BLEECKER STREET New York, NY 10012
90 GOLD ST                                New York, NY 10038
3 WEST 128 STREET                         New York, NY 10027
125 WEST 96 STREET New York, NY 10025
132 WEST 83RD   STREET                    New York, NY 10024
304 EAST 82ND   STREET                    New York, NY 10028
188 EAST 76TH STREET New York, NY 10021
319 WEST 106 STREET New York, NY 10025
147 EAST HOUSTON STREET                   New York, NY 10002
83 HENRY STREET                           New York, NY 10002
36 EAST 69TH STREET New York, NY 10021
342 WEST 85TH STREET                      New York, NY 10024
515 WEST END AVENUE New York, NY 10024
50 EAST 89TH   STREET New York, NY 10128
129 WEST 89TH   STREET                    New York, NY 10024
61 CROSBY STREET New York, NY 10012
77 ELDRIDGE STREET New York, NY 10002
189 BROADWAY                              New York, NY 10038
35 CANAL STREET                           New York, NY 10002
8 UNION SQUARE SOUTH                      New York, NY 10003
113 WEST 95TH STREET New York, NY 10025
333 EAST 18TH                             New York, NY 10003
24 WEST 95TH   STREET New York, NY 10025
56 EAST 87TH STREET New York, NY 10128
222 EAST 80TH   STREET                    New York, NY 10075
205 AVENUE C                              New York, NY 10009
1 MOUNT MORRIS PARK WE New York, NY 10027
311 EAST 11TH   STREET                    New York, NY 10003
2 KING STREET New York, NY 10012
30 WEST 86 ST                             New York, NY 10024
15 RIVINGTON                              New York, NY 10002
7 AVENUE A New York, NY 10009
2235 FREDERICK DOUGLASS B New York, NY 10027
125 WEST 96TH STREET New York, NY 10025
117 PRINCE STREET New York, NY 10012
150 SULLIVAN New York, NY 10012
102 WEST 80TH   STREET New York, NY 10024
1220 LEXINGTON AVENUE                     New York, NY 10028
111 EAST 85TH New York, NY 10028
43 ESSEX STREET                           New York, NY 10002
51 WEST 94TH   STREET                     New York, NY 10025
244 EAST 90TH   STREET New York, NY 10128
125 EAST 4TH   STREET New York, NY 10003
191 PRINCE STREET                         New York, NY 10012
11 WEST 81 STREET New York, NY 10024
525 E 82ND STREET New York, NY 10028
236 E. 81ST STREET                        New York, NY 10028
255 WEST 92ND STREET New York, NY 10025
123 EAST 86 STREET                        New York, NY 10028
517 WEST 29TH STREET                      New York, NY 10001
340 EAST 80TH STREET                      New York, NY 10075
383 8 AVENUE                              New York, NY 10001
345 RIVERSIDE DRIVE New York, NY 10025
115 FOURTH AVENUE                         New York, NY 10003
1234 MADISON AVENUE                       New York, NY 10128
50 EAST 89 ST New York, NY 10128
825 FIFTH AVENUE                          New York, NY 10065
300 WEST 108TH STREET New York, NY 10025
2071 ADAM C POWELL BLVD                   New York, NY 10027
221 WEST 82 STREET New York, NY 10024
677 WEST END AVE. New York, NY 10025
5 WEST 120TH STREET                       New York, NY 10027
7 WEST 104 STREET                         New York, NY 10025
265 WEST 34TH   STREET                    New York, NY 10001
185 EAST 2 STREET New York, NY 10009
240 EAST HOUSTON ST                       New York, NY 10002
438 11TH   AVENUE                         New York, NY 10018
325 RIVERSIDE DRIVE New York, NY 10025
25 EAST 9TH STREET New York, NY 10003
318 SECOND AVENUE New York, NY 10003
11 ESSEX STREET New York, NY 10002
521-523 EAST 72ND   STREET New York, NY 10021
780 WEST END AVENUE New York, NY 10025
117 WEST 123RD STREET                     New York, NY 10027
454 WEST 25TH   STREET                    New York, NY 10001
140 ESSEX STREET New York, NY 10002
210 EAST 84  STREET New York, NY 10028
48 HESTER STREET                          New York, NY 10002
120 WEST 29TH STREET New York, NY 10001
170 E 94TH STREET New York, NY 10128
204 WEST 92 STREET New York, NY 10025
1250 BROADWAY                             New York, NY 10001
1382 FIRST AVENUE                         New York, NY 10021
67 WEST 83RD STREET                       New York, NY 10024
122 EAST 10TH STREET New York, NY 10003
261 WEST 25TH STREET New York, NY 10001
70 LA SALLE STREET New York, NY 10027
137 WEST 25TH   STREET                    New York, NY 10001
106 FULTON STREET                         New York, NY 10038
316 EAST 69TH   STREET                    New York, NY 10021
305 2ND AVENUE                            New York, NY 10003
210 WEST 103 ST New York, NY 10025
530 EAST 85TH   STREET New York, NY 10028
26 AVENUE B New York, NY 10009
248 10TH   AVENUE                         New York, NY 10001
348 WEST 36TH STREET New York, NY 10018
72-74 EAST 3RD   STREET                   New York, NY 10003
265 WEST 122ND STREET                     New York, NY 10027
120 EAST 90 STREET                        New York, NY 10128
173 BLEECKER STREET New York, NY 10012
77 BLEEKER STREET New York, NY 10012
19 WEST 85TH New York, NY 10024
605 WEST 111TH STREET New York, NY 10025
83 WEST 104 STREET                        New York, NY 10025
40 EAST 9TH New York, NY 10003
51 EAST 10TH STREET New York, NY 10003
1 EAST END AVENUE New York, NY 10075
273 WEST 87TH   STREET                    New York, NY 10024
133 WEST 4TH STREET                       New York, NY 10012
350 EAST 62ND   STREET New York, NY 10065
113 WEST 95TH STREET                      New York, NY 10025
216 WEST 108 STREET New York, NY 10025
128 EAST 16TH STREET New York, NY 10003
308 WEST 105TH STREET                     New York, NY 10025
222 RIVERSIDE DRIVE                       New York, NY 10025
331 WEST 84TH   STREET New York, NY 10024
333 EAST 79 STREET New York, NY 10075
424 WEST 33RD   STREET                    New York, NY 10001
239 EAST 73RD STREET New York, NY 10021
998 FIFTH AVENUE New York, NY 10028
66 EAST 11TH   STREET                     New York, NY 10003
263 9 AVENUE New York, NY 10001
241 WEST 108TH STREET New York, NY 10025
261 WEST 131ST STREET                     New York, NY 10027
180 E 79TH ST New York, NY 10075
109 WEST 26TH   STREET New York, NY 10001
7 EAST 17TH   STREET New York, NY 10003
18 ORCHARD STREET                         New York, NY 10002
220 EAST 65TH STREET                      New York, NY 10065
210 WEST 90TH STREET New York, NY 10024
505 EAST 79TH   STREET New York, NY 10075
2467 FREDRICK DOUGLASS BL                 New York, NY 10027
126-128 EAST 16TH STREET New York, NY 10003
784 PARK AVENUE New York, NY 10021
80 LA SALLE STREET New York, NY 10027
1651 FIRST AVENUE                         New York, NY 10028
100 SUFFOLK STREET New York, NY 10002
21 EAST 90TH STREET New York, NY 10128
176 WEST 87TH STREET New York, NY 10024
224 EAST 95TH STREET New York, NY 10128
103 NORFOLK STREET                        New York, NY 10002
188 EAST 76 STREET New York, NY 10021
72-76 EAST 79TH   STREET                  New York, NY 10075
413 EAST 78TH   STREET                    New York, NY 10075
257 WEST 86TH STREET New York, NY 10024
140 WEST 124 STREET New York, NY 10027
504 EAST 79TH   STREET New York, NY 10075
333 EAST 69TH New York, NY 10021
17 EAST 92ND   STREET                     New York, NY 10128
136 WEST 123 STREET                       New York, NY 10027
160 SOUTH STREET                          New York, NY 10038
20 EAST 10TH STREET                       New York, NY 10003
111 WEST 94TH ST New York, NY 10025
324 EAST 77TH   STREET                    New York, NY 10075
273 BOWERY                                New York, NY 10002
125 WEST 133 STREET                       New York, NY 10027
291 LENOX AVENUE                          New York, NY 10027
157 EAST 72ND STREET                      New York, NY 10021
125 WEST 120 STREET New York, NY 10027
59 JOHN STREET                            New York, NY 10038
248 WEST 121 STREET                       New York, NY 10027
246 WEST 121 STREET                       New York, NY 10027
307 WEST 126TH STREET                     New York, NY 10027
532 EAST 79TH   STREET                    New York, NY 10075
301 EAST 75TH STREE New York, NY 10021
215 EAST 79TH STREET New York, NY 10075
334 EAST 5TH STREET New York, NY 10003
45 EAST 80TH   STREET                     New York, NY 10075
170 2 AVENUE New York, NY 10003
3 WEST 122ND STREET                       New York, NY 10027
162 EAST 109 STREET New York, NY 10027
404 EAST 79TH ST                          New York, NY 10075
227 EAST 87TH  STREET New York, NY 10128
39 EAST 67TH STREET                       New York, NY 10065
237 ELIZABETH STREET                      New York, NY 10012
330 EAST 80TH New York, NY 10075
435 E 65TH STREET New York, NY 10065
415 EAST 78TH   STREET                    New York, NY 10075
220 EAST 67TH   STREET New York, NY 10065
863 PARK AVE New York, NY 10075
157 EAST 18TH STREET New York, NY 10003
119 EAST 84 STREET New York, NY 10028
510 EAST 80TH   STREET                    New York, NY 10075
216 WEST 123 STREET                       New York, NY 10027
198 ORCHARD STREET                        New York, NY 10002
2280 FREDRICK DOUGLASS BL                 New York, NY 10027
311 EAST 75 STREET New York, NY 10021
360 RIVERSIDE DRIVE New York, NY 10025
1 EAST 66TH New York, NY 10065
75 WEST 125 STREET New York, NY 10027
351 EAST 82ND   STREET                    New York, NY 10028
211 EAST 3RD STREET                       New York, NY 10009
1156 3 AVENUE New York, NY 10065
17 EAST 89TH STREET New York, NY 10128
207 WEST 79TH   STREET                    New York, NY 10024
300 EAST 85TH STREET New York, NY 10028
520 EAST 88TH STREET                      New York, NY 10128
260 WEST 132 STREET                       New York, NY 10027
444 EAST 86TH New York, NY 10028
25 WEST 94TH   STREET                     New York, NY 10025
1178 MADISON AVENUE New York, NY 10028
930 5TH AVENUE New York, NY 10021
401 EAST 84TH STREET                      New York, NY 10028
100 LASALLE New York, NY 10027
170 NORFOLK STREET New York, NY 10002
355 WEST 120TH STREET New York, NY 10027
360 EAST 88 STREET                        New York, NY 10128
239 HENRY STREET                          New York, NY 10002
111 WEST 106TH STREET New York, NY 10025
243 WEST 98TH New York, NY 10025
317 WEST 120TH STREET                     New York, NY 10027
350 EAST 62ND STREET                      New York, NY 10065
233 WEST 99 STREET New York, NY 10025
200 E. 69 ST                              New York, NY 10021
206 WEST 132 STREET                       New York, NY 10027
143 AVENUE B New York, NY 10009
155 EAST 78TH STREET                      New York, NY 10075
124 WEST 109TH STREET New York, NY 10025
451 EAST 84TH STREET New York, NY 10028
1416 3 AVENUE                             New York, NY 10028
123 WEST 92ND STREET                      New York, NY 10025
33 WEST 93RD STREET New York, NY 10025
120 WEST 78 STREET New York, NY 10024
62 EAST 1ST STREET                        New York, NY 10003
509 E. 77TH STREET New York, NY 10075
282 GRAND STREET                          New York, NY 10002
334 EAST 93RD   STREET                    New York, NY 10128
304 MULBERRY STREET                       New York, NY 10012
323 EAST 85TH   STREET                    New York, NY 10028
45 EAST 80TH STREET                       New York, NY 10075
752 WEST END AVENUE                       New York, NY 10025
322 EAST 79TH   STREET                    New York, NY 10075
110 THOMPSON STREET New York, NY 10012
345 EAST 93RD   STREET                    New York, NY 10128
750 PARK AVE New York, NY 10021
530 BROADWAY                              New York, NY 10012
229 WEST 121 STREET                       New York, NY 10027
420 EAST 64RD STREET New York, NY 10065
577 GRAND ST New York, NY 10002
1212 BROADWAY                             New York, NY 10001
259 BOWERY New York, NY 10002
247 WATER STREET                          New York, NY 10038
345 EAST 77TH ST New York, NY 10075
350 ALBANY ST                             New York, NY 10280
9 EAST 75TH   STREET                      New York, NY 10021
215 WEST 105TH STREET New York, NY 10025
346 WEST 122 STREET                       New York, NY 10027
181 EAST 90TH   STREET                    New York, NY 10128
446 EAST 85TH   STREET New York, NY 10028
160 WEST 85TH STREET New York, NY 10024
30 EAST 85 STREET                         New York, NY 10028
4 EAST 12TH STREET New York, NY 10003
55 PRINCE STREET New York, NY 10012
923 5TH AVENUE                            New York, NY 10021
71-73 PARK AVENUE SOUTH                   New York, NY 10003
1231 3 AVENUE                             New York, NY 10021
526 EAST 6TH   STREET                     New York, NY 10009
301 EAST 79TH ST New York, NY 10075
18 WEST 86TH   STREET New York, NY 10024
209 WEST 107TH STREET                     New York, NY 10025
10 SULLIVAN STREET                        New York, NY 10012
350 LAFAYETTE STREET                      New York, NY 10012
230 EAST 15TH ST New York, NY 10003
321 EAST 71ST STREET New York, NY 10021
129 AVENUE D                              New York, NY 10009
45 EAST 1ST STREET New York, NY 10003
101 WEST 87TH   STREET New York, NY 10024
65 NASSAU STREET                          New York, NY 10038
431 EAST 82ND   STREET New York, NY 10028
350 EAST 72ND   STREET New York, NY 10021
318 EAST 81ST   STREET                    New York, NY 10028
189 AVENUE C                              New York, NY 10009
300 ALBANY STREET New York, NY 10280
215 WEST 95TH   STREET                    New York, NY 10025
470 11TH   AVENUE                         New York, NY 10018
344 WEST END AVENUE New York, NY 10024
524 EAST 79TH   STREET                    New York, NY 10075
1113 YORK AVENUE                          New York, NY 10065
131 WEST 131ST STREET New York, NY 10027
120 EAST END AVENUE New York, NY 10028
401 EAST 84TH   STREET                    New York, NY 10028
504 GRAND STREET                          New York, NY 10002
244 10TH   AVENUE New York, NY 10001
3 WEST 122 STREET                         New York, NY 10027
25 WEST 35TH STREET                       New York, NY 10018
420 RIVERSIDE DR New York, NY 10025
326 EAST 6TH STREET                       New York, NY 10003
446 EAST 86TH STREET New York, NY 10028
132 EAST 19TH STREET New York, NY 10003
221 EAST 76TH STREET New York, NY 10021
530 EAST 84 STREET New York, NY 10028
168 ATTORNEY STREET                       New York, NY 10002
153 WEST 95TH STREET New York, NY 10025
195 AVENUE A New York, NY 10009
133 AVENUE D                              New York, NY 10009
121 MANHATTAN AVENUE                      New York, NY 10025
250 MERCER  STREET New York, NY 10012
12 EAST 88TH   STREET                     New York, NY 10128
61-63 CROSBY STREET New York, NY 10012
